date,daily_tx_count,avg_gas_gwei,avg_tx_cost_gwei,total_gas_used,rolling_7d_avg_gas,rolling_7d_tx_count
2025-08-01,423734,1.7812095470406364,183814.04517166037,39208567487,1.7812095470406364,423734.0
2025-08-02,395320,1.2851447577855268,128428.84198217298,39191596897,1.5331771524130815,409527.0
2025-08-03,366149,1.1581616362725897,102949.97471734899,40161999340,1.408171980366251,395067.6666666667
2025-08-04,416677,1.4145773977004317,132989.35064119956,38991697824,1.4097733346997963,400470.0
2025-08-05,452889,2.0910144070343484,184516.6884090813,39167383357,1.5460215491667069,410953.8
2025-08-06,442780,1.3931771384311846,127528.2651888039,39249895904,1.5205474807107864,416258.1666666667
2025-08-07,426045,1.7280228219920035,162840.49424988093,38971681669,1.5501868151795317,417656.28571428574
2025-08-08,413017,1.8693831406759789,190717.4079268603,39162492770,1.562783042841723,416125.28571428574
2025-08-09,396294,1.7500707198689756,204609.4971549714,39201767269,1.6292010374250732,416264.4285714286
2025-08-10,403277,1.4426170711020454,140876.4652261982,39421370959,1.6698375281149953,421568.4285714286
2025-08-11,416024,1.9190130508258092,200936.19978091473,39243742643,1.7418997642757639,421475.14285714284
2025-08-12,419280,2.69837710520957,243562.1245214053,39251381950,1.828665864015081,416673.85714285716
2025-08-13,433684,3.23409960502518,312177.4955732276,39463361391,2.0916547878142233,415374.4285714286
2025-08-14,424847,3.4244513528464724,365290.6294969972,39589976812,2.334001720793433,415203.28571428574
2025-08-15,415774,1.9082121953515523,214138.3441910704,39272199852,2.339548728604229,415597.14285714284
2025-08-16,369926,1.1692180181477,108593.82420489563,39351493784,2.2565697712154753,411830.28571428574
2025-08-17,368605,1.2071948734808604,116416.1510823632,39594420144,2.2229380286981635,406877.14285714284
2025-08-18,412374,1.5608131205063667,173823.61016542505,39517687580,2.1717666100811006,406355.71428571426
2025-08-19,412882,1.8145047194726367,169270.35057414006,39436731046,2.045499126404396,405441.71428571426
2025-08-20,407847,1.7869687204716544,175507.63519576416,39069175655,1.838766142896749,401750.71428571426
2025-08-21,405182,1.7656391703815353,160284.75406897964,39675137124,1.6017929739731864,398941.4285714286
2025-08-22,403065,3.4613268198601306,366721.28073694475,39439532552,1.8236664917601264,397125.85714285716
2025-08-23,389157,1.316944098191182,124061.18479251956,39184201619,1.844770217480624,399873.14285714284
2025-08-24,377532,1.5056886259215438,153496.2344995983,39612841283,1.887412182115007,401148.4285714286
2025-08-25,393175,1.702622974458878,168306.22551108178,39442992243,1.9076707326796514,398405.71428571426
2025-08-26,385243,1.6724816576868209,169989.1206252149,39145286820,1.8873817238531063,394457.28571428574
2025-08-27,368125,1.9653276314978827,203812.48759584123,39303723979,1.9128615682854249,388782.71428571426
2025-08-28,392657,1.5856774142688175,163249.40779625846,39309260366,1.8871527459836077,386993.4285714286
2025-08-29,413512,1.5557340991868354,161676.52739113683,39505422788,1.6149252144588515,388485.85714285716
2025-08-30,357948,1.056836339152421,88856.03993776391,39607489815,1.5777669631676,384027.4285714286
2025-08-31,379406,1.0117506241365668,88621.98836935664,39033740924,1.5072043914840318,384295.14285714284
