date,tx_count,avg_gas_gwei,avg_cost_gwei,avg_block_utilization
2025-08-01,423734,1.781209547040637,183814.04517166034,0.12101409718209877
2025-08-02,395320,1.2851447577855268,128428.841982173,0.12096171881790124
2025-08-03,366149,1.1581616362725897,102949.97471734899,0.12395678808641974
2025-08-04,416677,1.4145773977004314,132989.35064119953,0.12034474637037038
2025-08-05,452889,2.0910144070343484,184516.68840908134,0.12088698566975309
2025-08-06,442780,1.3931771384311844,127528.2651888039,0.12114165402469136
2025-08-07,426045,1.7280228219920037,162840.49424988095,0.12028296811419753
2025-08-08,413017,1.8693831406759789,190717.4079268603,0.1208718912654321
2025-08-09,396294,1.7500707198689756,204609.4971549714,0.12099310885493827
2025-08-10,403277,1.4426170711020454,140876.46522619823,0.12167089802160494
2025-08-11,416024,1.919013050825809,200936.19978091473,0.12112266247839507
2025-08-12,419280,2.69837710520957,243562.1245214053,0.12114624058641975
2025-08-13,433684,3.2340996050251807,312177.49557322764,0.12180049812037037
2025-08-14,424847,3.4244513528464737,365290.6294969971,0.12219128645679013
2025-08-15,415774,1.9082121953515523,214138.3441910704,0.12121049337037038
2025-08-16,369926,1.1692180181477003,108593.82420489563,0.12145522772839507
2025-08-17,368605,1.2071948734808604,116416.1510823632,0.12220500044444445
2025-08-18,412374,1.5608131205063671,173823.61016542505,0.12196817154320988
2025-08-19,412882,1.814504719472637,169270.35057414,0.12171830569753087
2025-08-20,407847,1.7869687204716547,175507.63519576416,0.12058387547839507
2025-08-21,405182,1.7656391703815353,160284.75406897964,0.12245412692592593
2025-08-22,403065,3.4613268198601315,366721.2807369449,0.12172695232098765
2025-08-23,389157,1.316944098191182,124061.18479251956,0.12093889388580246
2025-08-24,377532,1.5056886259215443,153496.23449959833,0.1222618558117284
2025-08-25,393175,1.7026229744588772,168306.22551108175,0.12173763037962963
2025-08-26,385243,1.6724816576868209,169989.12062521488,0.12081878648148148
2025-08-27,368125,1.9653276314978827,203812.48759584123,0.12130779005864196
2025-08-28,392657,1.585677414268818,163249.40779625846,0.1213248776728395
2025-08-29,413512,1.5557340991868351,161676.5273911368,0.12193031724691358
2025-08-30,357948,1.056836339152421,88856.03993776391,0.12224533893518517
2025-08-31,379406,1.011750624136567,88621.98836935662,0.12047450902469135
